PoemName,PoemLine,MetaphorCount,MetaphoricTerm,MetaphorType,SourceDomain,TargetDomain,Interpretation,Poet,Year
දශක හතරකට පෙර සිටි පෙම්වතිය,දෑස් පතුලේ සිරවූ,0,,,,,,Somaratne Balasuriya,2010
දශක හතරකට පෙර සිටි පෙම්වතිය,පුංචි පළිඟු කැට දෙකක්,1,පුංචි පළිඟු කැට දෙකක්,Implied,පුංචි පළිඟු කැට දෙකක්,කඳුළු,දෑස් වල සැඟවුණු කඳුළු බිඳු දෙකක්,Somaratne Balasuriya,2010
දශක හතරකට පෙර සිටි පෙම්වතිය,එල්ල වී ඇත මා දෙස,0,,,,,,Somaratne Balasuriya,2010
මිතුරගේ වියපත් පියාගේ මරණය,මූලික කාරිය දැන් ඉවරයි,0,,,,,,Somaratne Balasuriya,2010
මිතුරගේ වියපත් පියාගේ මරණය,මේ ළඟ ඉන්නව මගේ මිතුරියක්,0,,,,,,Somaratne Balasuriya,2010
මිතුරගේ වියපත් පියාගේ මරණය,පෙර පවකට ඈ මැකී ගියත්,1,මැකී ගියත්,Implied,මැකී ගියත්,අතහැර දමා ගියත්,අතහැර දමා ගියත්,Somaratne Balasuriya,2010
මිතුරගේ වියපත් පියාගේ මරණය,විදුලි කොටයි සිත තුළ ඉඳහිට,1,විදුලි කොටයි,Implied,විදුලි කොටයි,මතක් වෙයි,හිත පාරවයි,Somaratne Balasuriya,2010
මිතුරගේ වියපත් පියාගේ මරණය,දහිරිය දෙයි ඔබ දෙන්නා,0,,,,,,Somaratne Balasuriya,2010
මිතුරගේ වියපත් පියාගේ මරණය,ඈ දැකුමට යාමට,0,,,,,,Somaratne Balasuriya,2010
අමතකය,සතුට සන්තුෂ්ටිය හිස් කබලකි,1,සතුට සන්තුෂ්ටිය හිස් කබලකි,Standard,හිස් කබල,සතුට සන්තුෂ්ටිය,සතුට හා සංතෘෂ්ටිය යනු හිස් වූ දෙයකි,Somaratne Balasuriya,2010
අමතකය,අඳ දැසකි සන්තුෂ්ටිය,1,අඳ දැසකි සන්තුෂ්ටිය,Standard,අඳ දැස,සන්තුෂ්ටිය,සතුට යනු අපව මුලා කරන දෘෂ්ටියකි,Somaratne Balasuriya,2010
අමතකය,දුක පරම ධනයකි,1,දුක පරම ධනයකි,Standard,පරම ධනය,දුක,දුක යනු උතුම්ම සම්පත්තියයි,Somaratne Balasuriya,2010
අමතකය,දුක දකී ලෝකය,0,,,,,,Somaratne Balasuriya,2010
මැකීයමට කාලයයි,රියදුරු පැමිණෙයි,0,,,,,,Somaratne Balasuriya,2010
මැකීයමට කාලයයි,ඔහු ඇදගෙන යාමට,0,,,,,,Somaratne Balasuriya,2010
මැකීයමට කාලයයි,සුක්කානම තෙවරක් පිරිමැද,0,,,,,,Somaratne Balasuriya,2010
මැකීයමට කාලයයි,දෑස් එකලස් කොට,0,,,,,,Somaratne Balasuriya,2010
මැකීයමට කාලයයි,සිරස නමා වැඳ ,0,,,,,,Somaratne Balasuriya,2010
මැකීයමට කාලයයි,යකඩ ගොඩ ගැනේ එළියට,1,යකඩ ගොඩ,Implied,යකඩ ගොඩ,බස් රථය,බස් රථය,Somaratne Balasuriya,2010
මැකීයමට කාලයයි,ජවබල ඇතද,0,,,,,,Somaratne Balasuriya,2010
මැකීයමට කාලයයි,ඇගට පතට නොදැනී පැදවේ වාහනය ,0,,,,,,Somaratne Balasuriya,2010
මැකීයමට කාලයයි,මහමඟ දුක දන්නෝ,0,,,,,,Somaratne Balasuriya,2010
මැකීයමට කාලයයි,බසය එනතුරු,0,,,,,,Somaratne Balasuriya,2010
මැකීයමට කාලයයි,බලා සිටිති දැවුණු මුහුණින්,1,දැවුණු මුහුණින්,Implied,දැවුණු මුහුණින්,විඩාපත් මුවින්,විඩාපත් මුවින්,Somaratne Balasuriya,2010
පියුන් මල්ලී ,අව්වට වැස්සට හසුවී,0,,,,,,Somaratne Balasuriya,2010
පියුන් මල්ලී ,බල්ලන් හඹා හපා කා,0,,,,,,Somaratne Balasuriya,2010
පියුන් මල්ලී ,අඬු බඩු කඩාගත්,0,,,,,,Somaratne Balasuriya,2010
පියුන් මල්ලී ,මග තොට ලියලු,0,,,,,,Somaratne Balasuriya,2010
පියුන් මල්ලී ,අනෙක ප්‍රේම පුෂ්ප,1,ප්‍රේම පුෂ්ප,Dead,ප්‍රේම පුෂ්ප,පෙම්වතියන්,පෙම්වතියන්,Somaratne Balasuriya,2010
පියුන් මල්ලී ,හිතෙන් උදුරා විසිකල,0,,,,,,Somaratne Balasuriya,2010
පියුන් මල්ලී ,නාඹර තරුණයා,0,,,,,,Somaratne Balasuriya,2010
නිදහසේ ගීතය,අහසේ පියාසලමින් බමන,0,,,,,,Somaratne Balasuriya,2010
නිදහසේ ගීතය,දෙපා තැබීමට තැනක් සොයන,0,,,,,,Somaratne Balasuriya,2010
නිදහසේ ගීතය,පරවියකුය මගේ ගීතය,1,පරවියකුය මගේ ගීතය,Standard,පරවියකුය,මගේ ගීතය,නිදහසේ සිටිමින් සුදුසු තැනක් සොයා යන කෙනෙකුගේ සොභාවයක් පෙනෙයි.,Somaratne Balasuriya,2010
නිදහසේ ගීතය,පිබිදී එන,0,,,,,,Somaratne Balasuriya,2010
නිදහසේ ගීතය,මල් පොහොට්ටුවකි,1,මල් පොහොට්ටුවකි,Standard,මල් පොහොට්ටුව,මගේ ගීතය,නිදහස විඳින්නට පටන් ගන්නා ජීවිත අත්දැකීමක් උකහා දක්වයි.,Somaratne Balasuriya,2010
නිදහසේ ගීතය,මගේ ගීතය දම්වැලක් වේ,1,මගේ ගීතය දම්වැලක් වේ,Standard,දම්වැලක්,මගේ ගීතය,එකිනෙකට එකක් යාවු සිද්ධීන් සමුදායක් පවතින ජීවිත අත්දැකීමක් පෙන්වයි,Somaratne Balasuriya,2010
නිදහසේ ගීතය,අගක් මුලක් නැති,0,,,,,,Somaratne Balasuriya,2010
නිදහසේ ගීතය,පුරුකකින් පුරුක එක්වුන,0,,,,,,Somaratne Balasuriya,2010
නිදහසේ ගීතය,ගීතයකින් ගීතයකට,0,,,,,,Somaratne Balasuriya,2010
නිදහසේ ගීතය,නොනවතා ගයමු,0,,,,,,Somaratne Balasuriya,2010
නිදහසේ ගීතය,එක්ව ගයමු,0,,,,,,Somaratne Balasuriya,2010
නිදහසේ ගීතය,මිනිස් සංහතිය වෙනුවෙන් ගයන,0,,,,,,Somaratne Balasuriya,2010
නිදහසේ ගීතය,ගීතය පරවියෙකි,1,ගීතය පරවියෙකි,Standard,පරවියෙකි,ගීතය,අන් අය වෙනුවෙන් පෙනී සිටින ජීවිත ආදර්ශයකි,Somaratne Balasuriya,2010
නිදහසේ ගීතය,අවසානයක් නැතිව පියාඹන,0,,,,,හවස් වීම,Somaratne Balasuriya,2010
නිදහසේ ගීතය,විවරවුන පියාපත්,0,,,,,,Somaratne Balasuriya,2010
නිදහසේ ගීතය,තැනක් සොයයි දෙපා තැබීමට,0,,,,,,Somaratne Balasuriya,2010
නිදහසේ ගීතය,නැවත නැවතත් පියාඹීමට,0,,,,,,Somaratne Balasuriya,2010
හිරු වැලපෙයි,ආලෝකය අකලට මිය යයි,1,ආලෝකය අකලට මිය යයි,Implied,ආලෝකය අකලට මිය යයි,හවස් වීම,හවස් වීම,Somaratne Balasuriya,2010
හිරු වැලපෙයි,හිරු මුදුන් වී,0,,,,,,Somaratne Balasuriya,2010
හිරු වැලපෙයි,සිනා සිසී බලා සිටී ,1,සිනා සිසී බලා සිටී ,Implied,සිනා සිසී බලා සිටී ,හිරු රශ්මිය විහිදුවමින් බැබලයි,හිරු රශ්මිය විහිදුවමින් බැබලයි,Somaratne Balasuriya,2010
හිරු වැලපෙයි,බැස යන්නෙම්ද,0,,,,,,Somaratne Balasuriya,2010
හිරු වැලපෙයි,බටහිරින්,0,,,,,,Somaratne Balasuriya,2010
හිරු වැලපෙයි,සුපුරුදු ලෙසින්,0,,,,,,Somaratne Balasuriya,2010
හිරු වැලපෙයි,යන්නෙම්ද ආපසු නැගෙනහිරට,0,,,,,,Somaratne Balasuriya,2010
හිරු වැලපෙයි,එන්නෙම්ද හෙට යළි,0,,,,,,Somaratne Balasuriya,2010
සොඳුරිය,අඳුරු ලොවේ කෙඳුරුම්,0,,,,,,Somaratne Balasuriya,2010
සොඳුරිය,ඇලී තිබේ දෙසවන් තුළ,0,,,,,,Somaratne Balasuriya,2010
සොඳුරිය,ඔබ හැම ඉකිබිඳුමක්,0,,,,,,Somaratne Balasuriya,2010
සොඳුරිය,හෙළු කඳුලක්,0,,,,,,Somaratne Balasuriya,2010
සොඳුරිය,විදුලි කොටයි ම හදතුල ,1,විදුලි කොටයි ම හදතුල ,Implied,විදුලි කොටයි ම හදතුල ,හද පාරවයී ,හද පාරවයී ,Somaratne Balasuriya,2010
කියවනවිට ලියූ යුවතිය,මුවගින් දෑසින් ගලා හැලෙන කවි,1,මුවගින් දෑසින් ගලා හැලෙන කවි,Implied,මුවගින් දෑසින් ගලා හැලෙන කවි,මුහුණු ඉරියව් තුළින් ප්‍රකාශිත වන ප්‍රකාශන,,Somaratne Balasuriya,2010
කියවනවිට ලියූ යුවතිය,මුතු අකුරින් මම අමුණමි ,1,මුතු අකුරින්,Standard,මුතු,අකුරු,ලස්සන අකුරින්,Somaratne Balasuriya,2010
කියවනවිට ලියූ යුවතිය,අතරින් පතරට වදනක්,0,,,,,,Somaratne Balasuriya,2010
කියවනවිට ලියූ යුවතිය,අකුරක් දෙකක්,0,,,,,,Somaratne Balasuriya,2010
කියවනවිට ලියූ යුවතිය,ඔබට හොරා අලුතෙන් එක්කොට,0,,,,,,Somaratne Balasuriya,2010
ජීවිතය,ඇත්තෙන් ඇත්තට පනිනා,0,,,,,,Somaratne Balasuriya,2010
ජීවිතය,තෙමුන කුරුල්ලෙකි ජීවිතය,1,ඇත්තෙන් ඇත්තට පනිනා තෙමුන කුරුල්ලෙකි ජීවිතය,Extended,තෙමුන කුරුල්ලෙකි,ජීවිතය,දැක්මක් නොමැති ජීවිතයකි,Somaratne Balasuriya,2010
ජීවිතය,දිනකින් දිනකට,0,,,,,,Somaratne Balasuriya,2010
ජීවිතය,ප්‍රශ්නයකින් ප්‍රශ්නයකට පැනයන,0,,,,,,Somaratne Balasuriya,2010
හමුවීම,ගණන් පොත් පිටුව පුරා හරි ගත්ත,0,,,,,,Somaratne Balasuriya,2010
හමුවීම,කාලිදාසටත් ඉහළින් කවි ලියුව,0,,,,,,Somaratne Balasuriya,2010
හමුවීම,ගමේ පාසලේ මිනී පහනව උන්න,1,මිනී පහනව උන්න,Dead,මිනී පහනව,"ඉතා දක්ෂ, කැපී පෙනෙන ලෙස සිටි ","ඉතා දක්ෂ, කැපී පෙනෙන ලෙස සිටි ",Somaratne Balasuriya,2010
හමුවීම,අනේ සුමිතුරේ නුඹ හට උනේ කිම,0,,,,,,Somaratne Balasuriya,2010
පතිනියකගේ කඳුළු,සසර පැතුමක් අරන් පැමිණියත් සිත් ගෙයට,0,,,,,,Somaratne Balasuriya,2010
පතිනියකගේ කඳුළු,හබල නැති පරුවකි නුඹ මගේ කුලගෙයට,1,හබල නැති පරුවකි නුඹ,Standard,හබල නැති පරුවකි,නුඹ,අසම්පූර්ණ ජීවිත සම්බන්දතාවයක්,Somaratne Balasuriya,2010
පතිනියකගේ කඳුළු,එක සිතක නොනැවතී ඉන්න හැකි නම් නුඹට,0,,,,,,Somaratne Balasuriya,2010
පතිනියකගේ කඳුළු,යන්න වෙන්වෙලා නුඹ සුවඳ පමණකි මෙමට,0,,,,,,Somaratne Balasuriya,2010
පතිනියකගේ කඳුළු,පැහැදිලි ගං දියේ ගැඹුරු තැන,0,,,,,,Somaratne Balasuriya,2010
පතිනියකගේ කඳුළු,කළල් දිය යට වී,0,,,,,,Somaratne Balasuriya,2010
පතිනියකගේ කඳුළු,හොර හොරෙන් සැඟව සිටි,0,,,,,,Somaratne Balasuriya,2010
පතිනියකගේ කඳුළු,හිත් නටුව මම,1,හිත් නටුව මම,Standard,හිත් නටුව,මම,සැඟව සිටින ජීවිතයක්,Somaratne Balasuriya,2010
පතිනියකගේ කඳුළු,පවන සේ නුඹ පැමිණ,0,,,,,,Somaratne Balasuriya,2010
පතිනියකගේ කඳුළු,හෙමි හෙමින් නැවති සඳ,0,,,,,,Somaratne Balasuriya,2010
පතිනියකගේ කඳුළු,ඊය සේ පැන ඇවිත්,0,,,,,,Somaratne Balasuriya,2010
පතිනියකගේ කඳුළු,හිනැහි හිනැහි පිබිදුන,0,,,,,,Somaratne Balasuriya,2010
පතිනියකගේ කඳුළු,පෙම් නෙළුම මම,1,පෙම් නෙළුම මම,Standard,පෙම් නෙළුම,මම,පෙමින් යුතු ජීවිත අත්දැකීමක්,Somaratne Balasuriya,2010
පතිනියකගේ කඳුළු,දඟර කර දඟර කර කියාදුන්,0,,,,,,Somaratne Balasuriya,2010
පතිනියකගේ කඳුළු,සොදුරු පෙම් කවිය ළග,0,,,,,,Somaratne Balasuriya,2010
පතිනියකගේ කඳුළු,කිති කැවී කිති කැවී ගිය,0,,,,,,Somaratne Balasuriya,2010
පතිනියකගේ කඳුළු,මනරම් සියපතකි මම ,1,මනරම් සියපතකි මම ,Standard,මනරම් සියපත,මම ,පෙමින් යුතු ජීවිත අත්දැකීමක්,Somaratne Balasuriya,2010
විප්ලවවාදියකු වෙත,නෙතු දහසකට ඉඟිකොට,0,,,,,,Somaratne Balasuriya,2010
විප්ලවවාදියකු වෙත,කියා නොකියා වසඟ කොට,0,,,,,,Somaratne Balasuriya,2010
විප්ලවවාදියකු වෙත,දිනුම් කණුවට යනෙන,0,,,,,,Somaratne Balasuriya,2010
විප්ලවවාදියකු වෙත,මාවත හෙළි පෙහෙළි කළ,0,,,,,,Somaratne Balasuriya,2010
විප්ලවවාදියකු වෙත,යුගයේ චන්ද්‍රවංකය නුඹ,1,යුගයේ චන්ද්‍රවංකය නුඹ,Standard,යුගයේ චන්ද්‍රවංකය,නුඹ,දියුණුව කරා ගෙන ගිය ,Somaratne Balasuriya,2010
මුහුද,දිය රැළිය තෙරපවන,0,,,,,,Narmada Tharangi Matharage,2007
මුහුද,දිය සුළිය කරකවන,0,,,,,,Narmada Tharangi Matharage,2007
මුහුද,වෙරළක්ය මා නුඹට,1,දිය රැළිය තෙරපවන දිය සුළිය කරකවන වෙරළක්ය මා,Standard,දිය රැළිය තෙරපවන දිය සුළිය කරකවන වෙරළක්,මා,විවිධ ජීවිත අත්දැකීම් ඇති කරවන,Narmada Tharangi Matharage,2007
මුහුද,විටින් විට ඇවිත් යන,0,,,,,,Narmada Tharangi Matharage,2007
මුහුද,සයුරක්ය නුඹ මෙමට ,1,විටින් විට ඇවිත් යන සයුරක්ය නුඹ,Standard,විටින් විට ඇවිත් යන සයුරක්,නුඹ,ජීවිතේ ඇතැම් අවස්ථා වලදී යන එන,Narmada Tharangi Matharage,2007
දෙවැනි විවාහය,නිල් දිය මතින් රුවට රුව හිනැහී,0,,,,,,Narmada Tharangi Matharage,2007
දෙවැනි විවාහය,හිරුට දෝතම පුද පුදා දී,0,,,,,,Narmada Tharangi Matharage,2007
දෙවැනි විවාහය,දෙවැනිවර විවාපත් මල මමයි,1,දෙවැනිවර විවාපත් මල මමයි,Standard,දෙවැනිවර විවාපත් මල,මම,නැවත විවාහයට පාතැබූ මම,Narmada Tharangi Matharage,2007
පොඩි හාමුදුරුවන්ගෙන් මෑණියන්ට,නුඹේ පොඩිපුතු අම්මෙ පිං බිමේ තනිවෙලා,0,,,,,,Narmada Tharangi Matharage,2007
පොඩි හාමුදුරුවන්ගෙන් මෑණියන්ට,වැල් එළියෙ දුව පැන්න දෙපා අද මුදු වෙලා,0,,,,,,Narmada Tharangi Matharage,2007
පොඩි හාමුදුරුවන්ගෙන් මෑණියන්ට,වැලි පොළොවෙ පිංසාර ජීවිතය සිරවෙලා,0,,,,,,Narmada Tharangi Matharage,2007
පොඩි හාමුදුරුවන්ගෙන් මෑණියන්ට,කෙලිකවට පුංචි හිත මල් අසුනෙ පරවෙලා,1,මල් අසුනෙ පරවෙලා,Implied,මල් අසුනෙ පරවෙලා,කලකිරීම,කලකිරීම,Narmada Tharangi Matharage,2007
"රාත්‍රිය, නුඹ සහ මම",ඔයා සිනා වැදී සිත උමතු කරයි,0,,,,,,Narmada Tharangi Matharage,2007
"රාත්‍රිය, නුඹ සහ මම",මල් ඔකද වෙලා සුදු සිනා සලයි,0,,,,,,Narmada Tharangi Matharage,2007
"රාත්‍රිය, නුඹ සහ මම",ගහ වැලේ එතී සඳ කතා කරයි,0,,,,,,Narmada Tharangi Matharage,2007
"රාත්‍රිය, නුඹ සහ මම",නුඹ සඳක් වෙලා රැය මටම ගෙනෙයි,1,නුඹ සඳක් වෙලා,Standard,සඳ,නුඹ,නුඹ මා සදහාම සිටී,Narmada Tharangi Matharage,2007
සොල්දාදුවෙකුගේ සොහොන් කොත අබියසදී,ලියා අහවර කවියක,0,,,,,,Narmada Tharangi Matharage,2007
සොල්දාදුවෙකුගේ සොහොන් කොත අබියසදී,පදවැලක් නුඹ,1,පදවැලක් නුඹ,Standard,පදවැලක්,නුඹ,කෙනෙකු පිළිබඳව දක්වන අදහස් පෙළක්,Narmada Tharangi Matharage,2007
සොල්දාදුවෙකුගේ සොහොන් කොත අබියසදී,අර්ථය නොවිමසා බැලූ,0,,,,,,Narmada Tharangi Matharage,2007
සොල්දාදුවෙකුගේ සොහොන් කොත අබියසදී,පාඨකයෙක් මම,0,,,,,,Narmada Tharangi Matharage,2007
නුඹ නොදන්නවාට,නුඹ නොදන්නවා උනාට,0,,,,,,Narmada Tharangi Matharage,2007
නුඹ නොදන්නවාට,ඒ දුක බර වැඩියි මසිතට,0,,,,,,Narmada Tharangi Matharage,2007
නුඹ නොදන්නවාට,පුදසුනක් වුනේ මගෙ හදවත,1,පුදසුනක් වුනේ මගෙ හදවත,Standard,පුදසුනක්,මගෙ හදවත,ශුද්ධවූ ස්ථානයක්,Narmada Tharangi Matharage,2007
නුඹ නොදන්නවාට,හදවතක් නැති ගල් පිළිමෙකට ,0,,,,,,Narmada Tharangi Matharage,2007
සිනා තොටුපොළ,නුඹේ සිනා වත,0,,,,,,Narmada Tharangi Matharage,2007
සිනා තොටුපොළ,මැවුනාම හදිසියේ සිත තුළ,0,,,,,,Narmada Tharangi Matharage,2007
සිනා තොටුපොළ,සිහිවුනා මට,0,,,,,,Narmada Tharangi Matharage,2007
සිනා තොටුපොළ,කාටවත්ම සමනොවෙන වග නුඹ,0,,,,,,Narmada Tharangi Matharage,2007
සිනා තොටුපොළ,තියාගත්තා මම,0,,,,,,Narmada Tharangi Matharage,2007
සිනා තොටුපොළ,හැමදාටම,0,,,,,,Narmada Tharangi Matharage,2007
සිනා තොටුපොළ,ඔය සිනා තොටුපොළ,0,,,,,,Narmada Tharangi Matharage,2007
සිනා තොටුපොළ,මගේ සෙනේ ගඟ අසබඩ,1,ඔය සිනා තොටුපොළ මගේ සෙනේ ගඟ අසබඩ,Mixed,ඔය සිනා තොටුපොළ මගේ සෙනේ ගඟ අසබඩ,ලෙන්ගතුම ස්ථානයක පිහිටුවීම,ලෙන්ගතුම ස්ථානයක පිහිටුවීම,Narmada Tharangi Matharage,2007
සඳගිර පාමුල,කොකනද වෙණ නුදුල කටහඬ වෙණ නුදුල,0,,,,,,Ratna Sri Wijesinghe,2015
සඳගිර පාමුල,අඩසඳ පතු නළල ලප නැති පතු නළල,0,,,,,,Ratna Sri Wijesinghe,2015
සඳගිර පාමුල,රැක ඉඳ නළල පායන දේදුනු සඟල,1,නළල පායන දේදුනු සඟල,Standard,දේදුනු සඟල,නළල,දීපතිමත් ලස්සන නළල් ප්‍රදේශය,Ratna Sri Wijesinghe,2015
සඳගිර පාමුල,පිය සඳ නුඹෙ ළමැද රත්තරනෙන් බුබුල,0,,,,,,Ratna Sri Wijesinghe,2015
සඳගිර පාමුල,හීන් බඳට බැන්දම රැළි පටිය වට,0,,,,,,Ratna Sri Wijesinghe,2015
සඳගිර පාමුල,හීන් කැකුළු තන පෙනුනා යාන්තමට,0,,,,,,Ratna Sri Wijesinghe,2015
